run_id,batch_id,product_id,product_name,category,brand,cost_price,selling_price
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P1,Language,Sports,Noise,1838.45,4496.02
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P2,Government,Home,Adidas,3239.69,4875.98
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P3,Owner,Books,Samsung,2128.36,4299.13
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P4,Among,Beauty,Nike,2242.36,5041.99
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P5,Subject,Fashion,Apple,2818.89,5309.13
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P6,Check,Fashion,Noise,3547.46,5519.37
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P7,Must,Electronics,Samsung,4948.23,10614.87
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P8,First,Books,Apple,1926.73,3090.55
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P9,Stuff,Books,Nike,3777.73,7800.83
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P10,Member,Electronics,Nike,1004.96,2397.5
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P11,Pm,Home,Boat,3776.22,6613.15
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P12,Cold,Beauty,Apple,4230.99,9823.03
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P13,Issue,Beauty,Sony,1252.81,2561.34
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P14,Hand,Home,Apple,2651.04,4451.61
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P15,More,Beauty,Adidas,864.64,1873.42
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P16,Law,Books,Noise,4000.57,8859.6
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P17,Management,Electronics,Sony,2367.5,5311.16
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P18,Process,Books,Boat,4744.14,7644.95
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P19,Public,Sports,Dell,4488.65,7557.25
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P20,Difficult,Books,Adidas,1153.71,2235.33
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P21,Help,Home,Puma,4120.2,6763.9
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P22,Structure,Sports,Nokia,4864.04,10728.71
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P23,Listen,Fashion,Sony,2008.07,4083.91
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P24,Perform,Fashion,Dell,1971.87,3255.66
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P25,Stuff,Beauty,Boat,4875.31,9418.31
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P26,Life,Electronics,Sony,2928.88,5813.07
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P27,White,Books,Samsung,1358.19,2975.26
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P28,People,Fashion,Sony,2719.27,4699.44
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P29,Kitchen,Beauty,Nike,3355.23,8207.03
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P30,Play,Beauty,Nokia,978.84,2303.16
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P31,East,Fashion,Noise,2515.17,5344.25
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P32,Camera,Sports,Nokia,2168.71,4128.59
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P33,Dinner,Beauty,Sony,2422.19,4836.73
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P34,Strong,Beauty,Apple,4805.18,8521.7
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P35,Boy,Books,Puma,1983.63,4691.72
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P36,Form,Sports,Samsung,1029.55,2180.69
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P37,Peace,Home,Noise,1040.21,1756.47
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P38,This,Beauty,Boat,2345.92,4435.81
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P39,Travel,Books,Sony,2848.53,4687.58
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P40,Mouth,Electronics,Nike,1602.72,2742.25
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P41,Play,Electronics,Puma,3742.01,8452.32
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,P42,Congress,Fashion,Adidas,3646.26,6540.91
